EventNo,Topic,Event,Link,Keywords,Check_Date,Start_Date,End_Date,Other_Keywords,Sample_Tweets
EN20,Covid,COVID-19 vaccines contain luciferase.,https://www.politifact.com/factchecks/2021/nov/19/blog-posting/no-covid-19-vaccines-dont-contain-luciferase/,((vaccine luciferase) OR (vaccines luciferase)),19.11.2021,19.9.2021,19.1.2022,luciferase,1477012365275287556%1476806432808919046%1476814307136614402%1476653852040601600%1475167526099177480
EN21,Refugees,Hundreds of ‘illegals’ were dropped off at Florida hotel.,https://www.politifact.com/factchecks/2022/feb/01/facebook-posts/workers-shown-video-arriving-florida-hotel-are-her/,((illegal florida hotel) OR (illegals florida hotel)),1.2.2022,1.12.2021,25.03.2022,florida hotel,1497538309597409282%1496907311444631561%1491059608198152194%1490208928143134720%1490134340319301634
EN22,Refugees,In the last several months the Biden administration has released over 7000 illegal aliens who were COVID positive just in one Texas city. Biden's border policies are endangering not just the people of Texas but people all across the country.,https://www.politifact.com/factchecks/2021/sep/03/ted-cruz/7000-covid-positive-migrants-quarantined-mcallen-a/,((biden border texas 7000) OR (biden 7000 illegal covid)),3.9.2021,3.7.2021,3.11.2021,biden texas,1432676727860379652%1432611783697526788%1432793415134105600%1432792130544619528%1432767517332758535
EN23,Refugees,There are 22 million illegal aliens living in America and ... voting illegally.,https://www.politifact.com/factchecks/2021/jul/27/facebook-posts/no-evidence-viral-claim-22-million-illegal-aliens-/,((22 (million OR millions) (illegal OR illegally) (voting OR votes OR vote)) OR (22 (millions OR million) (immigrant OR immigrants OR alien OR aliens) (vote OR voting OR votes) (illegal OR illegally OR fake OR fraud))),27.7.2021,27.5.2021,27.9.2021,voting election immigrants,1426311592526827521%1424806345799241733%1421932636126199808%1420534537126297603%1420388824769695748%1420377914126651393
EN24,Refugees,You may be 55 years old in [Illinois] and a citizen and not eligible for Medicaid. But if you are an undocumented immigrant and 55 or older you’re eligible for Medicaid.,https://www.politifact.com/factchecks/2021/jul/20/terri-bryant/downstate-senator-wrong-medicaid-eligibility-illin/,((55 years medicaid) OR (immigrants 55 years medicaid) OR (immigrant 55 years medicaid) OR ((immigrant OR immigrants) illinois (medicaid OR medicaids OR healthcare))),20.7.2021,20.5.2021,20.9.2021,illinois medicaid,1417931890615537667%1417915356971249667
EN25,Refugees,Report: Biden administration busing ‘thousands’ of illegals to red states to get permanent status.,https://www.politifact.com/factchecks/2021/apr/07/blog-posting/no-report-does-not-say-biden-administration-busing/,((busing illegals red states) OR (immigrants red permanent status)),7.4.2021,7.2.2021,7.6.2021,permanent status,1388115606008958979%1383417558926123017%1381356134016167938%1380685921150935042%1379864971882889216
EN26,Refugees,The migrant caravan from Tapachula Mexico “is the population of Minneapolis.”,https://www.politifact.com/factchecks/2021/oct/31/mary-miller/no-migrant-caravan-tapachula-mexico-not-population/,(((migrant OR immigrant OR immigrants) (caravan OR convoy) minneapolis) OR ((tapachula OR mexico) (caravan OR convoy) population) OR (biden harris caravan)),31.10.2021,31.8.2021,31.12.2021,tapachula caravan,1457852324681031684%1456273612038500354%1455942939012698120%1455185880713400323
EN27,Refugees,Was a 16-year-old Russian beaten to death by a group of Ukrainians in Germany?,https://www.dw.com/en/fact-check-was-a-16-year-old-russian-beaten-to-death-by-a-group-of-ukrainians-in-germany/a-61205221,((refugees beat russian video) OR (ukrainian refugees beaten russian video) OR (ukrainian refugees beat russian video) OR (ukrainian group beat russian germany) OR (ukrainian beaten russian boy video) OR (ukrainian beat russian boy video)),21.3.2022,21.1.2022,25.3.2022,ukrainian refugees,1506636038969643008%1506368039134060550
EN28,Refugees,Migrants on Polish border were able to enter Belarus thanks to the visa-free regime,https://euvsdisinfo.eu/report/migrants-on-polish-border-were-able-to-enter-belarus-thanks-to-the-visa-free-regime,(((visa-free OR visa OR free) belarus migrants) OR ((visa-free OR visa OR free) belarus refugees)),23.11.2021,23.9.2021,23.1.2022,visa belarus,1473230279192072195%1461413716235333640%1459110437321158658%1458924733454499848
EN29,Refugees,A sea of unknown migrants' graves is located at the Polish border,https://euvsdisinfo.eu/report/a-sea-of-unknown-migrants-graves-is-located-at-the-polish-border,((grave OR graves OR burry OR burried) (polish OR poland OR belarus OR belarusian) (border OR forest OR woods)),2.12.2021,2.10.2021,2.2.2022,poland belarus border,1456964561156849671%1455856065866833920%1458488682361626629%1468214800622632963%1472165379036299265
EN30,Refugees,Turkey may introduce ISIS members in the EU for terrorist attacks at Christmas,https://euvsdisinfo.eu/report/turkey-introduce-isis-eu-terrorist-attacks-christmas,((turkey send isis eu) OR (turkey send isis europe) OR (turkey isis christmas attacks) OR (isis attack christmas) OR (isis (terrorist OR terrorists) christmas)),4.12.2020,4.10.2020,4.2.2021,turkey europe,1350803292419452928%1336507436530712576%1323406353440874496%1349625185218023424
EN31,Misc,West Coast wildfires are due to “bad forest maintenance” not climate change.,https://www.politifact.com/factchecks/2020/sep/15/facebook-posts/climate-change-created-conditions-west-coast-fires/,((forest management trump) OR (forest management trump) OR (forest management climate change)),15.9.2020,15.7.2020,15.11.2020,climate change,1322281331703730177%1322249303415574530%1321999653093564417%1322231085317632003%1321756337810931717
EN32,Misc,Most of the wildfires on the West Coast are “all being started by antifa.”,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/antifa-activists-did-not-start-west-coast-wildfire/,(antifa (start OR started OR starts) (forest OR wild OR woods) (fire OR fires OR wildfire OR wildfires)),10.9.2020,10.7.2020,10.11.2020,wildfires west coast,1316055353562337280%1312044707166318592%1307734234879139840%1307156661262454786%1306272614860697600%1305701048703578116
EN33,Misc,Bill Gates hatches 'horribly stupid' plan to block out the sun,https://www.politifact.com/factchecks/2022/feb/25/facebook-posts/claim-bill-gates-scheming-block-sun-wrong/,((bill gates block sun) OR (bill gates solar harvard)),25.2.2022,25.12.2021,25.3.2022,harvard solar geoengineering,1504164796161306627%1504146707864436739%1504076480720031748%1504053056962453506%1503048436823707648
EN34,Misc,Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg which amounted to a wave of massive election bribery.,https://www.politifact.com/factchecks/2022/mar/15/michael-gableman/courts-have-repeatedly-upheld-grants-gableman-says/,((zuckerberg wisconsin money election) OR (zuckerberg election bribery) OR (zuckerberg election bribe)),15.3.2022,15.1.2022,25.3.2022,mark zuckerberg,1504187408874565632%1503949566579822592%1503839219856330758%1503150964789948418%1503064863807090688
EN35,Misc,Hillary Clinton spied on President Trump.,https://www.politifact.com/factchecks/2022/feb/28/donald-trump/donald-trumps-save-america-pac-falsely-claims-hill/,((clinton spied trump) OR (clinton spy trump)),28.2.2022,28.12.2021,25.3.2022,clinton trump,1504579769014312964%1504577136644046848%1504566579413016576%1504541563413843969%1504267933916164100
EN36,Misc,Eating grapefruit “if you're on antidepressants” can “cause a fatal overdose.”,https://www.politifact.com/factchecks/2021/dec/21/facebook-posts/grapefruit-comes-some-risks-no-evidence-its-fatal-/,((grapefruit OR (grape fruit)) (fatal OR overdose OR (over dose) OR risk OR risks)),21.12.2021,21.10.2021,21.2.2022,grapefruit,1475099116753588233%1473783356466860033%1473410825746468864%1470630316331225089%1470592118569590790%1470505264411467776
EN37,Misc,Obama certificate a fake.,https://www.politifact.com/factchecks/2021/dec/20/blog-posting/no-barack-obamas-birth-certificate-isnt-fake/,obama birth certificate,20.12.2021,20.10.2021,20.2.2022,obama,1488237153326968836%1488185357078196224%1487602524953710592%1487265030563250177%1487171391749337093
EN38,Misc,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,https://www.politifact.com/factchecks/2021/dec/17/facebook-posts/no-microsoft-and-bill-gates-didnt-develop-video-ga/,((microsoft bill gates omikron) OR (omikron video game)),17.12.2021,17.10.2021,17.2.2022,bill gates,1483472604455395332%1482979899556179972%1479128490339414017%1479041302595452928%1478100179786117122
EN39,Misc,The claim: President Joe Biden plans to sell Alaska to Russia,https://www.usatoday.com/story/news/factcheck/2022/03/09/fact-check-satirical-claim-biden-selling-alaska-russia/9431621002/,((biden sell alaska) OR (biden selling alaska)),9.3.2022,9.1.2022,25.3.2022,alaska russia,1504567501556002824%1504566829536223238%1504548346232516612%1503923644917067785%1503676796830724098
EN40,Misc,The claim: A compass wouldn't work if Earth is spherical,https://www.usatoday.com/story/news/factcheck/2022/02/22/fact-check-compass-works-globe-because-magnetic-field-lines/6848272001/,((compass flat earth) OR (compass spherical earth) OR (compass earth magnetic) OR (compass globe magnetic)),22.2.2022,22.12.2021,25.3.2022,flat earth,1500902678867685384%1496457942748573699%1496168425428860935%1503043626133241857%1504765552652259330
