EventNo,Topic,Event,Link,Keywords,Check_Date,Start_Date,End_Date,Other_Keywords,Sample_Tweets
TR22,Refugees,Kızılay'ın kolilerindeki malzemelerin mülteci derneğinin kolilerine aktarıldığı iddiası,https://teyit.org/kizilayin-kolilerindeki-malzemelerin-multeci-derneginin-kolilerine-aktarildigi-iddiasi,(((kızılay OR kizilay OR kızılayın OR kizilayin OR kizilay’in OR kızılay’ın) nur (derneği OR dernegi)) OR ((mülteci OR multeci) (derneği OR dernegi) kolileri) OR ((mülteci OR multeci) (derneği OR dernegi) (kızılay OR kizilay OR kızılayın OR kizilayin OR kizilay’in OR kızılay’ın))),5.10.2020,5.8.2020,5.12.2020,kızılay (malzeme OR koli OR yardım OR dernek),1338412602725109760%1313384006436691968%1313043888781828098%1310600995471228929%1310291163098812421%1310054224600985606
TR23,Refugees,MEB'in İzmir’de mültecilere özel dört okul yapacağı iddiası,https://teyit.org/analiz-mebin-izmirde-multecilere-ozel-dort-okul-yapacagi-iddiasi,(((izmir OR izmirde OR izmir’de) (mülteci OR mültecilere OR multecilere) okul) OR ((izmir OR izmirde OR izmir’de) (mülteci OR mültecilere OR multecilere) özel okul) OR ((mebin OR meb’in OR meb) (izmir OR izmirde OR izmir’de) (mülteci OR mültecilere OR multecilere))),27.8.2021,27.6.2021,27.10.2021,(mülteci OR mültecilere OR multecilere) okul,1442106960170475520%1441131278540095488%1428076107161640960%1428003010110705666%1427977612673048577%1427962004828995591%1477991340432625670
TR24,Refugees,Videonun Türkiye’nin huduttaki duvarına merdiven dayayan Afgan göçmenleri gösterdiği iddiası,https://teyit.org/analiz-videonun-turkiyenin-huduttaki-duvarina-merdiven-dayayan-afgan-gocmenleri-gosterdigi-iddiasi,((afgan merdiven -altı -altında) OR (afgan merdiven video) OR (afgan duvar merdiven) OR (afgan sınır merdiven) OR (afgan (hudut OR hudud) merdiven) OR (duvara merdiven afgan) OR (afgan huduttaki duvar)),11.8.2021,11.6.2021,11.10.2021,afgan (hudut OR sınır) göçmen,1425544176091938816%1425545498589638656%1426890088089272321%1432697973612363778%1426861649886171139
TR25,Refugees,Katarlı gençlerin Türkiye'de sınavsız tıp okuyabileceği iddiası,https://teyit.org/analiz-katarli-genclerin-turkiyede-sinavsiz-tip-okuyabilecegi-iddiasi,((katar sınavsız) OR (mülteci sınavsız üniversite) OR (katar sınavsız tıp) OR (mülteci sınavsız tıp)),25.6.2021,25.4.2021,25.8.2021,katar mülteci,1426299795128340482%1425573210075062277%1425185287148277763%1424273082898948098%1424218281813106689
TR26,Misc,Görüntülerin Alanya Güzelbahçe’de lazerli saldırı sonucu çıkan orman yangınını gösterdiği iddiası,https://teyit.org/analiz-goruntulerin-alanya-guzelbahcedeki-kasitli-olarak-cikartilan-orman-yanginini-gosterdigi-iddiasi,((lazer yangın) OR (karşı ateş yangın lazerli) OR (starlink yangın)),4.8.2021,4.6.2021,4.10.2021,starlink uydu,1426449334862848001%1426469544374198278%1427868008869945355%1427993851793395715%1430172450738917379
TR27,Misc,A Haber’in referans verdiği raporun Türkiye’nin yangına müdaheledeki başarısını gösterdiği iddiası,https://teyit.org/analiz-turkiyenin-orman-yanginlarina-hizli-mudahalesiyle-dunyaya-ornek-oldugu-iddiasi,(((yangın OR yangına OR yangın’a) hızlı (müdahale OR mudahale) (türkiye OR trde OR türkiyede OR türkiye’de)) OR (((a haber) OR ahaber OR (a haber’in) OR ahaber’in) (müdahale OR mudahale) (yangın OR yangına OR yangın’a)) OR (avrupa orman yangını bilgi sistemi)),3.8.2021,3.6.2021,3.10.2021,avrupa türkiye yangın,1421822510597824520%1422103981229232130%1436413846122549248%1434488596216623105%1423056502823297028%1422972147287404545
TR28,Misc,Time dergisinin Türkiye’deki orman yangınlarını kapaktan haber verdiği iddiası,https://teyit.org/analiz-time-dergisinin-turkiyedeki-orman-yanginlari-kapaktan-haber-verdigi-iddiasi,((time (kapak OR kapaktan OR kapak’tan OR kapakta OR kapak’ta OR kapaga OR kapağa) (yangın OR yangını OR yangınlarını)) OR (time (dergi OR dergisi) (yangın OR yangını OR yangınlarını)) OR (time (kapak OR kapaktan OR kapak’tan OR kapakta OR kapak’ta OR kapaga OR kapağa) iklim)),3.8.2021,3.6.2021,3.10.2021,time dergisi,1424114416589713412%1422287441419976709%1422280375976579083%1421905876332552199%1421947878575067139
TR29,Misc,Hırvatistan’dan gelen uçağın THK’nin ateş kuşlarıyla aynı model olduğu iddiası,https://teyit.org/analiz-hirvatistandan-gelen-ucagin-ates-kuslariyla-ayni-oldugu-iddiasi,hırvatistan uçak model yangın,4.8.2021,4.6.2021,4.10.2021,thk uçak model,1422811460112064521%1422678625455849473%1422678158688636932%1422645437698383872%1422544179985588227%1422529114007871521
TR30,Misc,ASELSAN’ın Katar’a satıldığı iddiası,https://teyit.org/analiz-aselsanin-katara-satildigi-iddiasi,aselsan katar,30.12.2021,30.10.2021,28.02.2022,katar,1488290994231685125%1488268632530501633%1483889405202997260%1483376034955378688%1484588480135155724%1485717704233435140
TR31,Misc,ASELSAN’ın Birleşik Arap Emirlikleri’ne satıldığı iddiası,https://teyit.org/analiz-aselsanin-birlesik-arap-emirliklerine-satildigi-iddiasi,((aselsan birleşik arap) OR (aselsan bae)),9.12.2021,9.10.2021,9.2.2022,birleşik arap emirlikleri,1473219439424425989%1472934866924843012%1472304038611984390%1472291587619266566
TR32,Misc,A Haber'in zamlardan sonra “Halk her gece ucuz mazot alıyor” alt bandı kullandığı iddiası,https://teyit.org/analiz-a-haberin-halk-her-gece-ucuz-mazot-aliyor-seklinde-alt-bant-kullandigi-iddiasi,((((a haber) OR ahaber OR ahaber’in OR ahaberin OR (a haberin) OR (ahaber’in)) mazot halk) OR (((a haber) OR ahaber OR ahaber’in OR ahaberin OR (a haberin) OR (ahaber’in)) (ucuz OR ucuza) mazot)),4.3.2022,4.1.2022,25.3.2022,(ucuz OR ucuza) mazot,1501584492410118145%1501515301434839044%1501125764938448899%1500739040475336704%1500745708600795138
TR33,Misc,The Simpsons dizisinin Bill Gates'in 'güneşi karartma planını' bildiği iddiası,https://teyit.org/analiz-the-simpsons-dizisinin-bill-gatesin-gunesi-karartma-planini-bildigi-iddiasi,((((bill gates) OR (bill gatesin) OR (bill gates’in)) simpsons) OR ((güneş OR gunes OR güneşi OR günesi) karartma simpsons) OR (((bill gates) OR (bill gatesin) OR (bill gates’in)) (güneş OR gunes OR güneşi OR günesi)) OR ((güneş OR gunes OR güneşi OR günesi) karartma (planı OR plani))) ,22.02.2022,22.12.2021,25.3.2022,simpsons,1496152805085786114%1496032812624977922%1495825409312755727%1495778350538784770%1495769725275627521
TR34,Misc,Türkiye’nin uzay araştırmalarına toplam 20 bin TL ayırdığı iddiası,https://teyit.org/analiz-turkiyenin-uzay-arastirmalarina-sadece-20-bin-tl-ayirdigi-iddiasi,((uzay 20 bin) OR (uzay araştırma bütçe)),10.2.2022,10.12.2021,25.3.2022,uzay,1502582806735642624%1501204892832178182%1501039676597194755%1497933228648321027%1496197733333544968
TR35,Misc,NASA’nın 24 ilahiyatçı istihdam ettiği iddiası,https://teyit.org/analiz-nasanin-24-ilahiyatci-istihdam-ettigi-iddiasi,((nasa ilahiyatçı) OR (nasa ilahiyat)),4.1.2022,4.11.2021,4.3.2022,nasa uzay,1499677137871245317%1498774747957575681%1490838783432044551%1483350847832657923%1482768709332656128%1479383281690894336
TR36,Misc,Melih Bulu’nun Cengiz Holding’in yeni CEO’su olduğu iddiası,https://teyit.org/analiz-melih-bulunun-cengiz-holdingin-yeni-ceosu-oldugu-iddiasi,((melih bulu holding ceo) OR (melih bulu cengiz)),17.7.2021,17.5.2021,17.9.2021,cengiz holding,1425813975254540293%1423236805088923649%1421002668181532674%1416715225378742278%1416612541279744005%1416541062823391236
TR37,Misc,THY’nin 2 bin 500 çalışanını işten çıkardığı iddiası,https://teyit.org/analiz-thynin-2-bin-500-calisanini-isten-cikardigi-iddiasi,((thy 2 bin 500) OR (thy işten çıkarma)),2.7.2021,2.5.2021,2.9.2021,thy çalışan,1412694239465594883%1412641574090051585%1411981871819497478%1411727418101010437%1411085520692662273%1411011561435639811
TR38,Misc,The Simpsons'ın Sedat Peker videolarını önceden bildiği iddiası,https://teyit.org/analiz-simpsonlarin-sedat-peker-videolarini-bildigi-iddiasi,((simpsons OR simpson) sedat (peker OR pekerin OR peker’in)),17.6.2021,17.4.2021,17.8.2021,simpsons,1407610841797738499%1405985657256820737%1404060115502776320%1402877371221430277%1402014983328878607
TR39,Misc,Videonun Bordeaux’daki tramvayları gösterdiği iddiası,https://teyit.org/analiz-videonun-bordeauxdaki-tramvaylari-gosterdigi-iddiasi,((bordeaux OR bordeux’daki OR bordeux’taki OR bordodaki) (tramvay OR tramvayları OR tranvay OR tranvayları)) OR ((bordeaux OR bordeux’daki OR bordeux’taki OR bordodaki) (tramvay OR tramvayları OR tranvay OR tranvayları) (video OR videosu OR videoları OR videosunu OR video’sunu)),13.6.2021,13.4.2021,13.8.2021,bordeaux,1406581539903840257%1405522118222168065%1405401905640128512%1404156127844130817%1403317873481822210%1403114767397658628%1403069085257248769
TR40,Misc,Udi hindi yağının insan sağlığına olumlu etkileri olduğu iddiası,https://teyit.org/analiz-udi-hindi-yaginin-insan-sagligina-bircok-olumlu-etkisi-oldugu-iddiasi,((udi hindi bitkisi) OR (udi yağı) OR (udi hindi)),5.6.2021,5.4.2021,5.8.2021,sağlık insan,1432823770922815497%1432802976230481920%1432799411411853317%1432779517970550785%1432753862339960838%1432642045798125573%1432380195047100420
